Type,LGA_Name_2021,Telephone,Email,Website
Shire of,Kellerberrin,(08) 9045 4006,shire@kellerberrin.wa.gov.au,www.kellerberrin.wa.gov.au
Shire of,Kent,(08) 9829 1051,admin@kent.wa.gov.au,www.kent.wa.gov.au
Shire of,Kojonup,(08) 9831 2400,council@kojonup.wa.gov.au,www.kojonup.wa.gov.au
Shire of,Kondinin,(08) 9889 1006,enquires@kondinin.wa.gov.au,www.kondinin.wa.gov.au
Shire of,Koorda,(08) 9684 1219,shire@koorda.wa.gov.au,www.koorda.wa.gov.au
Shire of,Kulin,(08) 9880 1204,shire@kulin.wa.gov.au,www.kulin.wa.gov.au
City of,Kwinana,(08) 9439 0200,customer@kwinana.wa.gov.au,www.kwinana.wa.gov.au
Shire of,Lake Grace,(08) 9890 2500,shire@lakegrace.wa.gov.au,www.lakegrace.wa.gov.au
Shire of,Laverton,(08) 9031 1202,reception@laverton.wa.gov.au,www.laverton.wa.gov.au
Shire of,Leonora,(08) 9037 6044,admin@leonora.wa.gov.au,www.leonora.wa.gov.au
City of,Mandurah,(08) 9550 3777,council@mandurah.wa.gov.au,www.mandurah.wa.gov.au
Shire of,Manjimup,(08) 9771 7777,info@manjimup.wa.gov.au,www.manjimup.wa.gov.au
Shire of,Meekatharra,(08) 9980 0600,cso@meekashire.wa.gov.au,www.meekashire.wa.gov.au
City of,Melville,1300 635 845 | (08) 9364 0666,melinfo@melville.wa.gov.au,www.melvillecity.wa.gov.au
Shire of,Menzies,(08) 9024 2041,admin@menzies.wa.gov.au,www.menzies.wa.gov.au
Shire of,Merredin,(08) 9041 1611,admin@merredin.wa.gov.au,www.merredin.wa.gov.au
Shire of,Mingenew,(08) 9928 1102,enquiries@mingenew.wa.gov.au,www.mingenew.wa.gov.au
Shire of,Moora,(08) 9651 0000,shire@moora.wa.gov.au,www.moora.wa.gov.au
Shire of,Morawa,(08) 9971 1204,admin@morawa.wa.gov.au,www.morawa.wa.gov.au
Town of,Mosman Park,(08) 9383 6600,admin@mosmanpark.wa.gov.au,www.mosmanpark.wa.gov.au
Shire of,Mount Magnet,(08) 9963 3000,shire@mtmagnet.wa.gov.au,www.mtmagnet.wa.gov.au
Shire of,Mount Marshall,(08) 9685 1202,admin@mtmarshall.wa.gov.au,www.mtmarshall.wa.gov.au
Shire of,Mukinbudin,(08) 9047 2100,admin@mukinbudin.wa.gov.au,www.mukinbudin.wa.gov.au
Shire of,Mundaring,(08) 9290 6666,shire@mundaring.wa.gov.au,www.mundaring.wa.gov.au
Shire of,Murchison,(08) 9963 7999,admin@murchison.wa.gov.au,www.murchison.wa.gov.au
Shire of,Murray,(08) 9531 7777,mailbag@murray.wa.gov.au,www.murray.wa.gov.au
Shire of,Nannup,(08) 9756 1018,nannup@nannup.wa.gov.au,www.nannup.wa.gov.au
Shire of,Narembeen,(08) 9064 7308,admin@narembeen.wa.gov.au,www.narembeen.wa.gov.au
Shire of,Narrogin,(08) 9890 0900,enquiries@narrogin.wa.gov.au,www.narrogin.wa.gov.au
City of,Nedlands,(08) 9273 3500,council@nedlands.wa.gov.au,www.nedlands.wa.gov.au
Shire of,Ngaanyatjarraku,(08) 8956 7966,mail@ngaanyatjarraku.wa.gov.au,www.ngaanyatjarraku.wa.gov.au
Shire of,Northam,(08) 9622 6100,records@northam.wa.gov.au,www.northam.wa.gov.au
Shire of,Northampton,(08) 9934 1202,council@northampton.wa.gov.au,www.northampton.wa.gov.au
Shire of,Nungarin,(08) 9046 5006,admin@nungarin.wa.gov.au,www.nungarin.wa.gov.au
Shire of,Peppermint Grove,(08) 9286 8600,admin@peppermintgrove.wa.gov.au,www.peppermintgrove.wa.gov.au
Shire of,Perenjori,(08) 9973 0100,reception@perenjori.wa.gov.au,www.perenjori.wa.gov.au
City of,Perth,(08) 9461 3333,info@cityofperth.wa.gov.au,www.perth.wa.gov.au
Shire of,Pingelly,(08) 9887 1066,admin@pingelly.wa.gov.au,www.pingelly.wa.gov.au
Shire of,Plantagenet,(08) 9892 1111,info@sop.wa.gov.au,www.plantagenet.wa.gov.au
Town of,Port Hedland,(08) 9158 9300,council@porthedland.wa.gov.au,www.porthedland.wa.gov.au
Shire of,Quairading,(08) 9645 2400,shire@quairading.wa.gov.au,www.quairading.wa.gov.au
Shire of,Ravensthorpe,(08) 9839 0000,shire@ravensthorpe.wa.gov.au,www.ravensthorpe.wa.gov.au
City of,Rockingham,(08) 9528 0333,customer@rockingham.wa.gov.au,www.rockingham.wa.gov.au
Shire of,Sandstone,(08) 9963 5802,reception@sandstone.wa.gov.au,www.sandstone.wa.gov.au
Shire of,Serpentine Jarrahdale,(08) 9526 1111,info@sjshire.wa.gov.au,www.sjshire.wa.gov.au
Shire of,Shark Bay,(08) 9948 1218,admin@sharkbay.wa.gov.au,www.sharkbay.wa.gov.au
City of,South Perth,(08) 9474 0777,enquiries@southperth.wa.gov.au,www.southperth.wa.gov.au
City of,Stirling,(08) 9205 8555,stirling@stirling.wa.gov.au,www.stirling.wa.gov.au
City of,Subiaco,(08) 9237 9222,city@subiaco.wa.gov.au,www.subiaco.wa.gov.au
City of,Swan,(08) 9267 9267,swan@swan.wa.gov.au,www.swan.wa.gov.au
Shire of,Tammin,(08) 9637 0300,shire@tammin.wa.gov.au,www.tammin.wa.gov.au
Shire of,Three Springs,(08) 9954 1001,general@threesprings.wa.gov.au,www.threesprings.wa.gov.au
Shire of,Toodyay,(08) 9574 9300,records@toodyay.wa.gov.au,www.toodyay.wa.gov.au
Shire of,Trayning,(08) 9683 1001,admin@trayning.wa.gov.au,www.trayning.wa.gov.au
Shire of,Upper Gascoyne,(08) 9943 0988,admin@uppergascoyne.wa.gov.au,www.uppergascoyne.wa.gov.au
Town of,Victoria Park,(08) 9311 8111,admin@vicpark.wa.gov.au,www.victoriapark.wa.gov.au
Shire of,Victoria Plains,(08) 9628 7004,reception@victoriaplains.wa.gov.au,www.victoriaplains.wa.gov.au
City of,Vincent,(08) 9273 6000,mail@vincent.wa.gov.au,www.vincent.wa.gov.au
Shire of,Wagin,(08) 9861 1177,shire@wagin.wa.gov.au,www.wagin.wa.gov.au
Shire of,Wandering,(08) 6828 1800,reception@wandering.wa.gov.au,www.wandering.wa.gov.au
City of,Wanneroo,(08) 9405 5000,enquiries@wanneroo.wa.gov.au,www.wanneroo.wa.gov.au
Shire of,Waroona,(08) 9733 7800,warshire@waroona.wa.gov.au,www.waroona.wa.gov.au
Shire of,West Arthur,(08) 9736 2400,shire@westarthur.wa.gov.au,www.westarthur.wa.gov.au
Shire of,Westonia,(08) 9046 7063,shire@westonia.wa.gov.au,www.westonia.wa.gov.au
Shire of,Wickepin,(08) 9888 1005,admin@wickepin.wa.gov.au,www.wickepin.wa.gov.au
Shire of,Williams,(08) 9885 1005,shire@williams.wa.gov.au,www.williams.wa.gov.au
Shire of,Wiluna,(08) 9981 8000,reception@wiluna.wa.gov.au,www.wiluna.wa.gov.au
Shire of,Wongan-Ballidu,(08) 9671 2500,shire@wongan.wa.gov.au,www.wongan.wa.gov.au
Shire of,Woodanilling,(08) 9823 1506,shire@woodanilling.wa.gov.au,www.woodanilling.wa.gov.au
Shire of,Wyalkatchem,(08) 9681 1166,general@wyalkatchem.wa.gov.au,www.wyalkatchem.wa.gov.au
Shire of,Wyndham-East Kimberley,(08) 9168 4100,mail@swek.wa.gov.au,www.swek.wa.gov.au
Shire of,Yalgoo,(08) 9962 8042,pa@yalgoo.wa.gov.au,www.yalgoo.wa.gov.au
Shire of,Yilgarn,(08) 9049 1001,yilgarn@yilgarn.wa.gov.au,www.yilgarn.wa.gov.au
Shire of,York,(08) 9641 0500,records@york.wa.gov.au,www.york.wa.gov.au
